fhwa_id,name,states,source_url
2477,A1A Scenic & Historic Coastal Byway,Florida,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2477
13791,Acadia All-American Road,Maine,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13791
12398,Alaska Marine Highway,Alaska,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12398
2281,Beartooth Highway,"Montana, Wyoming",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2281
2280,Blue Ridge Parkway,"North Carolina, Virginia",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2280
2261,Chesapeake Country Scenic Byway,Maryland,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2261
2226,Chinook Scenic Byway,Washington,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2226
60441,Colonial Parkway,Virginia,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60441
2454,Creole Nature Trail,Louisiana,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2454
81527,Door County Coastal Byway,Wisconsin,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81527
2290,Flaming Gorge - Green River Basin Scenic Byway,Wyoming,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2290
2555,Florida Keys Scenic Highway,Florida,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2555
60807,George Washington Memorial Parkway,Virginia,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60807
2279,Great River Road,"Arkansas, Illinois, Iowa, Kentucky, Louisiana, Minnesota, Mississippi, Missouri, Tennessee, Wisconsin",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2279
2260,Harriet Tubman Underground Railroad Byway,Maryland,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2260
2145,Hells Canyon Scenic Byway,Oregon,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2145
2141,Historic Columbia River Highway,Oregon,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2141
2278,Historic National Road,"Illinois, Indiana, Maryland, Ohio, Pennsylvania, West Virginia",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2278
2489,Historic Route 66,"Arizona, Illinois, New Mexico, Oklahoma, California, Missouri",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2489
2486,International Selkirk Loop,"Idaho, Washington",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2486
2479,Lakes to Locks Passage,New York,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2479
2032,Las Vegas Strip,Nevada,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2032
81508,Lincoln Highway Scenic & History Byway,Nebraska,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81508
2285,Natchez Trace Parkway,"Alabama, Mississippi, Tennessee",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2285
81515,Newfound Gap Road Byway,"North Carolina, Tennessee",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81515
11185,North Shore Scenic Drive,Minnesota,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11185
2043,Northwest Passage Scenic Byway,Idaho,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2043
2143,Pacific Coast Scenic Byway - Oregon,Oregon,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2143
11290,Red Rock Scenic Byway,Arizona,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11290
2301,Route 1 - Big Sur Coast Highway,California,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2301
2475,Route 1 - San Luis Obispo North Coast Byway,California,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2475
2101,San Juan Skyway,Colorado,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2101
2020,Scenic Byway 12,Utah,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2020
2050,Selma to Montgomery March Byway,Alabama,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2050
10390,Seward Highway,Alaska,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10390
2102,Trail Ridge Road/Beaver Meadow Road,Colorado,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2102
2587,Volcanic Legacy Scenic Byway,"California, Oregon",https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2587
13754,Woodward Avenue (M-1) - Automotive Heritage Trail,Michigan,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13754
